Type,SKU,Name,Description,Regular price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,1051E,Jgo de llaves 16 combinadas pulido espejo en pulgadas,JGO DE LLAVES 16 COMBINADAS PULIDO ESPEJO EN PULGADAS,1746.69,FERRETERÍA > Manuales,"https://m.media-amazon.com/images/I/71Y+KZM5q3L._AC_UF894,1000_QL80_.jpg",,,,,
simple,10561730,Bloco contacto bfco-22,BLOCO CONTACTO BFCO-22,,MATERIAL ELÉCTRICO > Instalación,"https://m.media-amazon.com/images/I/61W8GZ+VxCL._AC_UF894,1000_QL80_.jpg",,,,,
simple,10566,"Casco de seguridad ala ancha, amarillo, TRUPER","Casco de seguridad ala ancha, amarillo, TRUPER",154.31,FERRETERÍA > Seguridad,"https://www.truper.com/media/import/imagenes/CAS-AX.jpg, https://www.truper.com/media/import/imagenes/CAS-AX+D1.jpg, https://www.truper.com/media/import/imagenes/CAS-AX+D2.jpg, https://www.truper.com/media/import/imagenes/CAS-AX+EI1.jpg, https://www.truper.com/media/import/imagenes/CAS-AX+EIND1.jpg, https://www.truper.com/media/import/imagenes/CAS-AX+E1.jpg",,,,,
simple,10567,"Casco de seguridad ala ancha, blanco, TRUPER","Casco de seguridad ala ancha, blanco, TRUPER",133.62,FERRETERÍA > Seguridad,"https://www.truper.com/media/import/imagenes/CAS-BX.jpg, https://www.truper.com/media/import/imagenes/CAS-BX+D1.jpg, https://www.truper.com/media/import/imagenes/CAS-BX+D2.jpg, https://www.truper.com/media/import/imagenes/CAS-BX+EI1.jpg, https://www.truper.com/media/import/imagenes/CAS-BX+EIND1.jpg, https://www.truper.com/media/import/imagenes/CAS-BX+E1.jpg",,,,,
simple,10638,"Portamanguera de plástico verde, TRUPER","Portamanguera de plástico verde, TRUPER",93.97,FERRETERÍA > Jardinería,"https://www.truper.com/media/import/imagenes/GAN-MAV.jpg, https://www.truper.com/media/import/imagenes/GAN-MAV+FC1.jpg",,,,,
simple,10638732,Banco de capacitores 480V-40K var*,BANCO DE CAPACITORES 480V-40K VAR*,5303.63,MATERIAL ELÉCTRICO > Control y protección,https://m.media-amazon.com/images/I/41KF0YiH+RL._AC_.jpg,,,,,
simple,10742,"Maneral de 4"" para rodillo, TRUPER","Maneral de 4"" para rodillo, TRUPER",23.28,FERRETERÍA > Albañilería,"https://www.truper.com/media/import/imagenes/MAROD-371.jpg, https://www.truper.com/media/import/imagenes/MAROD-371+D1.jpg, https://www.truper.com/media/import/imagenes/MAROD-371+EI1.jpg, https://www.truper.com/media/import/imagenes/MAROD-371+EIND1.jpg, https://www.truper.com/media/import/imagenes/MAROD-371+EM1.jpg, https://www.truper.com/media/import/imagenes/MAROD-371+E1.jpg, https://www.truper.com/media/import/imagenes/MAROD-371+FC1.jpg, https://www.truper.com/media/import/imagenes/MAROD-371+FC2.jpg",,,,,
simple,10753335,Reele sobrecarga elec. 24-240DC,REELE SOBRECARGA ELEC. 24-240DC,,MATERIAL ELÉCTRICO > Control y protección,"https://m.media-amazon.com/images/I/71fE-5EGHRL._AC_UF894,1000_QL80_.jpg",,,,,
simple,10753388,Reele sobrecarga elec. 24-240*,REELE SOBRECARGA ELEC. 24-240*,0.0,MATERIAL ELÉCTRICO > Control y protección,"https://m.media-amazon.com/images/I/71fE-5EGHRL._AC_UF894,1000_QL80_.jpg",,,,,
simple,10848,"Guantes para mecánico, palma reforzada, unitalla, TRUPER","Guantes para mecánico, palma reforzada, unitalla, TRUPER",150.82,FERRETERÍA > Seguridad,"https://www.truper.com/media/import/imagenes/GU-615.jpg, https://www.truper.com/media/import/imagenes/GU-615+D1.jpg, https://www.truper.com/media/import/imagenes/GU-615+E1.jpg, https://www.truper.com/media/import/imagenes/GU-615+FC1.jpg",,,,,
