SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
102192,"BROCA PARA METAL HSS 1/4""","BROCA PARA METAL HSS 1/4""",39.66,,https://www.hecort.com/wp-content/uploads/2021/03/Broca-HSS.jpg,Marca,,Medida,
102199,"BROCA PARA METAL HSS 11/32""","BROCA PARA METAL HSS 11/32""",79.31,,https://www.hecort.com/wp-content/uploads/2021/03/Broca-HSS.jpg,Marca,,Medida,
102210,"BROCA PARA METAL HSS 3/8""","BROCA PARA METAL HSS 3/8""",93.97,,https://www.hecort.com/wp-content/uploads/2021/03/Broca-HSS.jpg,Marca,,Medida,
102214,"BROCA PARA METAL HSS 7/16""","BROCA PARA METAL HSS 7/16""",0.0,,https://www.hecort.com/wp-content/uploads/2021/03/Broca-HSS.jpg,Marca,,Medida,
102219,"BROCA PARA METAL HSS 9/16""","BROCA PARA METAL HSS 9/16""",306.03,,https://www.hecort.com/wp-content/uploads/2021/03/Broca-HSS.jpg,Marca,,Medida,
102240,"Desarmador dieléctrico de cruz 3/16"" x 3"", TRUPER","Desarmador dieléctrico de cruz 3/16"" x 3"", TRUPER",47.41,,https://www.truper.com/media/import/imagenes/DP-3-16X3D.jpg,Marca,,Medida,
102241,"Desarmador dieléctrico de cruz 1/4"" x 4"", TRUPER","Desarmador dieléctrico de cruz 1/4"" x 4"", TRUPER",65.52,,https://www.truper.com/media/import/imagenes/DP-1-4X4D.jpg,Marca,,Medida,
102242,"Desarmador dieléctrico plano 7/32"" x 5"", TRUPER","Desarmador dieléctrico plano 7/32"" x 5"", TRUPER",68.1,,https://www.truper.com/media/import/imagenes/DR-7-32X5D.jpg,Marca,,Medida,
102243,"Desarmador dieléctrico plano 1/4"" x 6"", TRUPER","Desarmador dieléctrico plano 1/4"" x 6"", TRUPER",75.0,,https://www.truper.com/media/import/imagenes/DR-1-4X6D.jpg,Marca,,Medida,
10234,"Arco 12"" profesional tubular de acero para segueta, TRUPER","Arco 12"" profesional tubular de acero para segueta, TRUPER",168.1,,"https://www.truper.com/media/import/imagenes/ATT-12.jpg, https://www.truper.com/media/import/imagenes/ATT-12+EI1.jpg, https://www.truper.com/media/import/imagenes/ATT-12+EIND1.jpg, https://www.truper.com/media/import/imagenes/ATT-12+EM1.jpg, https://www.truper.com/media/import/imagenes/ATT-12+E1.jpg, https://www.truper.com/media/import/imagenes/ATT-12+FC1.jpg, https://www.truper.com/media/import/imagenes/ATT-12+FC2.jpg",Marca,,Medida,
10235,"Fumigador de 2 litros doméstico, TRUPER","Fumigador de 2 litros doméstico, TRUPER",125.0,,"https://www.truper.com/media/import/imagenes/FDO-2.jpg, https://www.truper.com/media/import/imagenes/FDO-2+E1.jpg, https://www.truper.com/media/import/imagenes/FDO-2+FC1.jpg, https://www.truper.com/media/import/imagenes/FDO-2+FC2.jpg",Marca,,Medida,
10236,"Mini arco 12"" de aluminio para segueta, TRUPER","Mini arco 12"" de aluminio para segueta, TRUPER",93.97,,"https://www.truper.com/media/import/imagenes/MAT-12.jpg, https://www.truper.com/media/import/imagenes/MAT-12+EI1.jpg, https://www.truper.com/media/import/imagenes/MAT-12+EIND1.jpg, https://www.truper.com/media/import/imagenes/MAT-12+EM1.jpg, https://www.truper.com/media/import/imagenes/MAT-12+E1.jpg, https://www.truper.com/media/import/imagenes/MAT-12+FC1.jpg, https://www.truper.com/media/import/imagenes/MAT-12+FC2.jpg",Marca,,Medida,
102440,"Chaleco de seguridad de alta visibilidad, naranja, M, EXPERT","Chaleco de seguridad de alta visibilidad, naranja, M, EXPERT",340.52,,"https://www.truper.com/media/import/imagenes/CHS-900N-M.jpg, https://www.truper.com/media/import/imagenes/CHS-900N-M+E1.jpg, https://www.truper.com/media/import/imagenes/CHS-900N-M+FC1.jpg",Marca,,Medida,
102441,"Chaleco de seguridad de alta visibilidad, naranja, G, EXPERT","Chaleco de seguridad de alta visibilidad, naranja, G, EXPERT",340.52,,"https://www.truper.com/media/import/imagenes/CHS-900N-L.jpg, https://www.truper.com/media/import/imagenes/CHS-900N-L+E1.jpg, https://www.truper.com/media/import/imagenes/CHS-900N-L+FC1.jpg",Marca,,Medida,
