Marca/Grupo,SKU,Nombre,Precio,Categorias
GENERICO (CAJAS ELECTRICAS),ORBI0003,CAJA MET 4-11/16 KO 1/2 Y 3/4,115.36,
GENERICO (CAJAS ELECTRICAS),RACO0003,CAJA MET 4X4 KO 1/2  PROFUNDA 1-1/2  RACO,44.01,
GENERICO (CAJAS ELECTRICAS),RACO0002,CAJA MET OCTYAGONAL KO 1/2 PROFUNDA 1-1/2 RACO,46.665,
GENERICO (CAJAS ELECTRICAS),CPU19P,"CAJA PL BRO PL NG 19X10""",376.8,
GENERICO (CAJAS ELECTRICAS),9921,"CAJA PLASTICO BROCH MT NEGRO 25X11""",1105.2,
GENERICO (CAJAS ELECTRICAS),REEL0002,CAJA REGISTRO 8X8 6,741.45,
GENERICO (CAJAS ELECTRICAS),9201B,JGO DE 10 DESTORNILLADOR DE COLORES DE CAJA EN PULGADAS,1165.35,
GENERICO (CAJAS ELECTRICAS),JLMC9R,JUEGO LLAVES MAT SPL RE 9PZ CAJA,4290.0,
GENERICO (CAJAS FS),CAFS0012,"CAJA FS 1"" (TOPE)*",75.0,
GENERICO (CAJAS FS),CAFS0006,"CAJA FSC 1""*",85.8,
GENERICO (CAJAS FS),CAFS0004,CAJA FSC 1/2,97.5,
GENERICO (CAJAS FS),CAFS0005,"CAJA FSC 3/4""*",97.5,
GENERICO (CAJAS FS),CAFS0003,"CAJA FST 1""*",91.06,
GENERICO (CAJAS FS),CAFS0001,"CAJA FST 1/2""*",107.52,
GENERICO (CAJAS FS),CAFS0007,"CAJA FSX 1/2""",127.5,
GENERICO (CAJAS FS),CAFS0008,CAJA FSX 3/4 5 SALIDAS,135.0,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0003,BOTE INTEGRAL 3 X 5.5CM*,39.0,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0025,"BOTE INTEGRAL 6"" X 10CM""",50.25,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0028,CAJA CHALUPA 2X4 3/4 5H 53320,192.975,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0026,CAJA CHALUPA 2X5 PROFUNDA AMERICANA,23.35,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0006,"CAJA CUADRADA 4X4""*",12.9,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0008,CAJA CUADRADA 5X5*,34.73,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0009,CAJA CUADRADA 6X6*,73.5,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0027,CAJA FS 2X4 3/4 3H 53240,64.5,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0004,"CAJA OCTAGONAL 4"" ECONOMICA*",24.97,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0005,"CAJA OCTAGONAL 4"" REFORZADA*",26.25,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0012,REDUCCION 4X2 A 4X4*,18.23,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0013,REDUCCION 4X2 A 5X5*,16.05,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0018,"TAPA CUADRADA 4""",26.64,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0020,"TAPA CUADRADA 6""",12.0,
GENERICO (CAJAS Y TAPAS ELECTRICAS),CAIT0001,"TAPA OCTAGONAL 4""*",5.02,
GENERICO (CAPACITORES),10638732,BANCO DE CAPACITORES 480V-40K VAR*,5303.63,
GENERICO (CENTROS DE CARGA),SQD0012,TAPA CENTRO DE CARGA 12 CIRCUITOS EMP,795.0,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0006,CH-06091AN8 CHAROLA A-06  P-9 CLASE 8B CARGA,1209.2,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0012,CH-12091AN8 CHAROLA A-12  P-9 CLASE 8B CARGA,1374.57,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0018,CH-18091AN8 CHAROLA A-18  P-9 CLASE 8B CARGA,1572.29,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0010,CHAROLA MALLA 100MM ANCHO 65,496.74825,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0002,CONJUNTO DE TORNILLOY GRAPA 2/4364,18.75,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0001,COPLE RECTO PERATE 3 1/4 C/TORNILLERIA,,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0062,"RL-12061A REDUCCION RECTA 12"" A 6""",434.6,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0068,"RL-1812A1A REDUCCION RECTA 18"" A 12""",468.5,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0032,"TEE HORIZONTAL 12"" RADIO 8",914.39,
GENERICO (CHAROLAS Y ACCESORIOS),CHAR0039,"TH-06R081A TEE HORIZONTAL 06"" RADIO 8",718.185,
